,Id_joueur,Strategy,Depth,Max_Score,History
28,1,Exploration,5,31.0,"[0, 3.0, 3.0, 1.0, 3.0, 3.0, 3.0, 1.0, 5.0, 9.0, 7.0, 9.0, 9.0, 13.0, 15.0, 17.0, 13.0, 17.0, 23.0, 21.0, 25.0, 23.0, 21.0, 19.0, 25.0, 25.0, 31.0, 27.0, 29.0, 29.0, 31.0]"
29,2,Dumb,1,-22.0,"[0, -0.0, 2.0, 2.0, -0.0, -0.0, 4.0, 2.0, -2.0, -4.0, -4.0, -4.0, -0.0, -6.0, -12.0, -8.0, -10.0, -14.0, -16.0, -14.0, -10.0, -12.0, -8.0, -10.0, -20.0, -22.0, -18.0, -24.0, -18.0, -26.0, -22.0]"
30,1,Exploration,5,13.0,"[0, 3.0, 3.0, 1.0, -1.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 7.0, 7.0, 11.0, 15.0, 15.0, 11.0, 11.0, 11.0, 15.0, 19.0, 15.0, 13.0, 11.0, 17.0, 21.0, 15.0, 19.0, 11.0, 11.0, 13.0]"
31,2,Dumb,1,-10.0,"[0, -0.0, 2.0, 4.0, 6.0, 2.0, -0.0, -2.0, -2.0, -0.0, 2.0, 6.0, -4.0, -4.0, -10.0, -8.0, -6.0, -4.0, -8.0, -12.0, -12.0, -8.0, -8.0, -2.0, -12.0, -8.0, -10.0, -6.0, -6.0, -2.0, -10.0]"
32,1,Exploration,5,19.0,"[0, 3.0, 3.0, 1.0, 1.0, 3.0, 3.0, 5.0, 3.0, 5.0, 7.0, 3.0, 5.0, 7.0, 9.0, 13.0, 11.0, 11.0, 7.0, 11.0, 9.0, -3.0, 5.0, 15.0, 23.0, 25.0, 23.0, 17.0, 19.0]"
33,2,Dumb,1,-6.0,"[0, -0.0, 2.0, 2.0, 2.0, 2.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, 2.0, -2.0, -0.0, -4.0, -4.0, -2.0, -4.0, -6.0, 10.0, 6.0, -2.0, -12.0, -20.0, -20.0, -14.0, -10.0, -6.0]"
34,1,Exploration,5,9.0,"[0, 3.0, 3.0, 1.0, -1.0, 1.0, 1.0, 1.0, 3.0, -1.0, -1.0, 5.0, 11.0, 11.0, 17.0, 17.0, 13.0, 11.0, 7.0, 9.0, 13.0, 11.0, 9.0, 13.0, 17.0, 19.0, 11.0, 9.0, 9.0]"
35,2,Dumb,1,-4.0,"[0, -0.0, 2.0, 4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 6.0, 4.0, -2.0, -6.0, -4.0, -14.0, -8.0, -4.0, -2.0, -0.0, -6.0, -8.0, 2.0, -6.0, -10.0, -14.0, -8.0, 6.0, -4.0, -4.0]"
36,1,Exploration,5,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, -1.0, 1.0, -5.0, -3.0, -1.0, -3.0, -1.0, 9.0, 9.0, 7.0, 19.0, 17.0, 17.0, 15.0, 11.0, 11.0, 1.0, -7.0, -7.0, -5.0, 3.0, 11.0]"
37,2,Dumb,1,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, 2.0, 4.0, 6.0, 4.0, 8.0, 10.0, 8.0, 8.0, 8.0, 6.0, -4.0, -0.0, -0.0, -14.0, -10.0, -12.0, -4.0, -8.0, 2.0, 10.0, 16.0, 14.0, 10.0, 2.0, -6.0]"
38,1,Exploration,5,27.0,"[0, 3.0, 3.0, 5.0, 5.0, 5.0, 7.0, 7.0, 3.0, 5.0, 7.0, 9.0, 13.0, 13.0, 11.0, 9.0, 9.0, 15.0, 19.0, 21.0, 19.0, 27.0, 31.0, 31.0, 33.0, 27.0, 27.0, 25.0, 23.0, 27.0]"
39,2,Dumb,1,-16.0,"[0, -0.0, 2.0, -2.0, -0.0, -2.0, -4.0, 2.0, 4.0, -0.0, -0.0, -4.0, -8.0, -8.0, -6.0, -4.0, -6.0, -12.0, -12.0, -14.0, -16.0, -22.0, -28.0, -26.0, -24.0, -22.0, -22.0, -18.0, -18.0, -16.0]"
40,1,Exploration,5,5.0,"[0, 3.0, 3.0, 3.0, 3.0, 1.0, 3.0, -1.0, 3.0, 3.0, 7.0, 9.0, 13.0, 15.0, 7.0, 9.0, 1.0, 5.0, 7.0, 11.0, 9.0, 13.0, 17.0, 9.0, 9.0, 3.0, 7.0, 5.0, 5.0, 11.0, 5.0]"
41,2,Dumb,1,18.0,"[0, -0.0, -0.0, -0.0, 2.0, 2.0, 4.0, 4.0, -0.0, -0.0, -2.0, -2.0, -10.0, -4.0, -4.0, 2.0, 4.0, -2.0, -2.0, -2.0, -2.0, -8.0, 2.0, -4.0, 8.0, 6.0, 8.0, -2.0, -2.0, -2.0, 18.0]"
42,1,Exploration,5,31.0,"[0, 3.0, 3.0, 5.0, 7.0, 5.0, 5.0, 1.0, 5.0, 7.0, 9.0, 3.0, 3.0, 1.0, 5.0, 5.0, 11.0, 19.0, 11.0, 11.0, 13.0, 17.0, 17.0, 19.0, 19.0, 23.0, 23.0, 31.0, 33.0, 33.0, 31.0]"
43,2,Dumb,1,-20.0,"[0, -0.0, 2.0, -2.0, -2.0, -2.0, 2.0, 2.0, -0.0, -4.0, -0.0, -0.0, 2.0, 6.0, -0.0, -2.0, -8.0, -6.0, -6.0, -8.0, -10.0, -6.0, -14.0, -12.0, -14.0, -10.0, -18.0, -20.0, -28.0, -22.0, -20.0]"
44,1,Exploration,5,15.0,"[0, 3.0, 3.0, 1.0, -1.0, 1.0, 3.0, 3.0, 3.0, 7.0, 3.0, 5.0, 9.0, 7.0, 7.0, 9.0, 13.0, 21.0, 15.0, 17.0, 17.0, 17.0, 15.0, 17.0, 17.0, 19.0, 19.0, 19.0, 13.0, 9.0, 15.0]"
45,2,Dumb,1,-2.0,"[0, -0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 2.0, -0.0, -0.0, 2.0, -2.0, -2.0, -0.0, -4.0, -4.0, -10.0, -10.0, -10.0, -14.0, -12.0, -6.0, -12.0, -8.0, -14.0, -16.0, -16.0, -10.0, -4.0, -6.0, -2.0]"
46,1,Exploration,5,9.0,"[0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 9.0, 11.0, 11.0, 13.0, 15.0, 11.0, 11.0, 15.0, 17.0, 9.0, 11.0, -1.0, -3.0, -5.0, 3.0, 7.0, 7.0, 17.0, 13.0, 13.0, 7.0, 9.0, 15.0, 9.0]"
47,2,Dumb,1,-2.0,"[0, -0.0, 2.0, -0.0, -2.0, -4.0, -2.0, -4.0, -8.0, -6.0, -10.0, -8.0, -8.0, -6.0, -12.0, -2.0, -4.0, 6.0, 12.0, 12.0, 8.0, 4.0, -0.0, -0.0, -2.0, -6.0, -4.0, 2.0, -6.0, -2.0, -2.0]"
48,1,Exploration,5,13.0,"[0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 5.0, 7.0, 1.0, 7.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 11.0, 17.0, 17.0, 19.0, 15.0, 21.0, 29.0, 25.0, 25.0, 21.0, 19.0, 17.0, 13.0]"
49,2,Dumb,1,-8.0,"[0, -0.0, 2.0, 2.0, 2.0, 2.0, 2.0, -2.0, 2.0, 2.0, -2.0, -0.0, -2.0, -4.0, 2.0, -2.0, -0.0, -6.0, -8.0, -10.0, -14.0, -10.0, -12.0, -18.0, -20.0, -22.0, -12.0, -14.0, -10.0, -4.0, -8.0]"
50,1,Exploration,5,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 5.0, 5.0, 5.0, 7.0, 7.0, 9.0, 9.0, 11.0, 13.0, 17.0, 9.0, 13.0, 17.0, 21.0, 21.0, 27.0, 23.0, 21.0, 23.0, 11.0, 11.0, 9.0, 9.0, 11.0]"
51,2,Dumb,1,-0.0,"[0, -0.0, 2.0, -0.0, -0.0, 4.0, 2.0, -0.0, -0.0, -2.0, -4.0, -4.0, -4.0, -6.0, -4.0, -10.0, -4.0, -4.0, -10.0, -14.0, -12.0, -18.0, -20.0, -16.0, -16.0, -6.0, -8.0, -2.0, -6.0, -0.0, -0.0]"
52,1,Exploration,5,-3.0,"[0, 3.0, 3.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 5.0, 5.0, 9.0, 9.0, 5.0, 7.0, 3.0, 1.0, 3.0, 5.0, 7.0, 1.0, 5.0, 5.0, 3.0, 5.0, 11.0, 3.0, 5.0, 5.0, -7.0, -3.0]"
53,2,Dumb,1,10.0,"[0, -0.0, 2.0, 4.0, 4.0, 6.0, 6.0, 4.0, 4.0, -0.0, -2.0, -2.0, -0.0, 2.0, 4.0, 2.0, 6.0, -0.0, 2.0, 4.0, 12.0, 4.0, -0.0, -0.0, -2.0, 2.0, 4.0, -2.0, 20.0, 10.0, 10.0]"
54,1,Exploration,5,23.0,"[0, 3.0, 3.0, 1.0, -1.0, 5.0, 3.0, 1.0, -3.0, 3.0, 3.0, 3.0, 5.0, 11.0, 11.0, 13.0, 15.0, 15.0, 23.0, 23.0, 27.0, 21.0, 17.0, 27.0, 29.0, 23.0, 23.0, 25.0, 15.0, 13.0, 23.0]"
55,2,Dumb,1,-20.0,"[0, -0.0, 2.0, 4.0, 4.0, -0.0, 2.0, 8.0, 6.0, -0.0, 4.0, -0.0, 2.0, -6.0, -8.0, -6.0, -10.0, -12.0, -18.0, -18.0, -18.0, -6.0, -14.0, -22.0, -14.0, -18.0, -18.0, -12.0, -8.0, -8.0, -20.0]"
56,1,Exploration,5,25.0,"[0, 3.0, 3.0, 1.0, 1.0, 1.0, 5.0, 7.0, 5.0, 7.0, 7.0, 9.0, 13.0, 9.0, 15.0, 11.0, 17.0, 23.0, 21.0, 23.0, 31.0, 25.0, 25.0, 33.0, 31.0, 19.0, 11.0, 15.0, 11.0, 19.0, 25.0]"
57,2,Dumb,1,-10.0,"[0, -0.0, 2.0, 2.0, 2.0, 2.0, -2.0, -2.0, -0.0, -4.0, -2.0, -6.0, -6.0, -4.0, -2.0, -8.0, -14.0, -18.0, -12.0, -20.0, -22.0, -22.0, -20.0, -16.0, -16.0, -2.0, -0.0, -6.0, -8.0, -16.0, -10.0]"
58,1,Exploration,5,3.0,"[0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 5.0, 7.0, 7.0, 13.0, 15.0, 13.0, 7.0, 9.0, 3.0, 11.0, 13.0, 13.0, 17.0, 17.0, 17.0, 17.0, 13.0, 15.0, 19.0, 13.0, 11.0, 1.0, 3.0]"
