,func,ncalls,ccalls,tottime,cumtime,callers
7,"<code object _wrapreduction at 0x0000011A24305710, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 69>",3964,0,0.0741246,0.0316955,"[_lsprof.profiler_subentry(code=""<method 'items' of 'dict' objects>"", callcount=3964, reccallcount=0, totaltime=0.0023529000000000002, inlinetime=0.0023529000000000002), _lsprof.profiler_subentry(code=""<method 'reduce' of 'numpy.ufunc' objects>"", callcount=3964, reccallcount=0, totaltime=0.031002500000000002, inlinetime=0.031002500000000002), _lsprof.profiler_subentry(code=<code object <dictcomp> at 0x0000011A24305660, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 70>, callcount=3964, reccallcount=0, totaltime=0.0050442, inlinetime=0.0050442), _lsprof.profiler_subentry(code='<built-in method builtins.getattr>', callcount=3964, reccallcount=0, totaltime=0.0040295, inlinetime=0.0040295)]"
48,<built-in method pygame.base.quit>,1,0,0.030173300000000004,0.030173300000000004,
9,"<code object prod at 0x0000011A2430E3A0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 2933>",3964,0,0.08776410000000001,0.0136395,"[_lsprof.profiler_subentry(code=<code object _wrapreduction at 0x0000011A24305710, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 69>, callcount=3964, reccallcount=0, totaltime=0.0741246, inlinetime=0.0316955)]"
40,<method 'pop' of 'list' objects>,23660,0,0.012805400000000002,0.012805400000000002,
33,<method 'min' of 'numpy.ndarray' objects>,3431,0,0.0919147,0.010552200000000001,"[_lsprof.profiler_subentry(code=<code object _amin at 0x0000011A243105B0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\_methods.py"", line 42>, callcount=3431, reccallcount=0, totaltime=0.0813625, inlinetime=0.0031429)]"
4,"<code object where at 0x0000011A23FBC190, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\multiarray.py"", line 341>",23696,0,0.0097179,0.0097179,
12,"<code object prod at 0x0000011A2432E500, file ""<__array_function__ internals>"", line 2>",3964,0,0.10480610000000001,0.007254,"[_lsprof.profiler_subentry(code='<built-in method numpy.core._multiarray_umath.implement_array_function>', callcount=3964, reccallcount=0, totaltime=0.09618020000000001, inlinetime=0.008416100000000001), _lsprof.profiler_subentry(code=<code object _prod_dispatcher at 0x0000011A2430E2F0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 2928>, callcount=3964, reccallcount=0, totaltime=0.0013719000000000001, inlinetime=0.0013719000000000001)]"
6,"<code object <dictcomp> at 0x0000011A24305660, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 70>",3964,0,0.0050442,0.0050442,
41,<built-in method builtins.getattr>,3964,0,0.0040295,0.0040295,
11,"<code object _amin at 0x0000011A243105B0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\_methods.py"", line 42>",3431,0,0.0813625,0.0031429,"[_lsprof.profiler_subentry(code=""<method 'reduce' of 'numpy.ufunc' objects>"", callcount=3431, reccallcount=0, totaltime=0.0782196, inlinetime=0.0782196)]"
37,<method 'items' of 'dict' objects>,3964,0,0.0023529000000000002,0.0023529000000000002,
