,Id_joueur,Strategy,Max_Score,History
41,2,Dumb,28,"[3, 4, 6, 7, 9, 7, 8, 7, 10, 11, 10, 11, 14, 16, 19, 19, 21, 20, 20, 16, 21, 24, 27, 29, 27, 28, 22, 24, 25, 28]"
42,1,Dumb,39,"[4, 5, 6, 7, 9, 10, 13, 16, 16, 17, 16, 16, 18, 18, 22, 24, 24, 28, 27, 28, 32, 31, 29, 27, 27, 28, 31, 35, 39, 39]"
43,2,Dumb,29,"[3, 4, 5, 6, 6, 7, 8, 6, 7, 10, 13, 14, 15, 15, 14, 14, 16, 15, 16, 17, 17, 21, 27, 27, 31, 32, 30, 29, 27, 29]"
44,1,Dumb,24,"[4, 5, 6, 8, 9, 9, 10, 11, 11, 12, 10, 11, 13, 14, 16, 16, 15, 17, 24, 26, 28, 34, 32, 31, 25, 27, 27, 31, 28, 24]"
45,2,Dumb,40,"[3, 4, 5, 5, 8, 8, 10, 13, 12, 16, 17, 18, 18, 19, 20, 23, 25, 25, 19, 19, 19, 18, 21, 30, 30, 32, 32, 36, 40]"
46,1,Dumb,29,"[4, 5, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 20, 22, 22, 23, 23, 23, 24, 25, 23, 27, 25, 26, 26, 26, 30, 29]"
47,2,Dumb,37,"[3, 5, 6, 7, 9, 9, 11, 11, 12, 13, 14, 15, 16, 16, 15, 16, 17, 21, 21, 24, 23, 27, 28, 29, 30, 34, 35, 35, 37]"
48,1,Dumb,32,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 14, 18, 21, 21, 20, 17, 16, 20, 20, 20, 19, 21, 22, 23, 27, 28, 32, 30, 33, 32]"
49,2,Dumb,35,"[3, 4, 5, 6, 7, 9, 9, 10, 12, 12, 13, 11, 11, 14, 19, 23, 23, 22, 24, 27, 30, 31, 29, 31, 32, 29, 35, 36, 33, 35]"
50,1,Dumb,38,"[4, 5, 6, 7, 8, 8, 10, 8, 9, 10, 12, 10, 11, 12, 18, 21, 19, 20, 24, 27, 27, 32, 32, 30, 32, 35, 34, 35, 38]"
51,2,Dumb,31,"[3, 4, 5, 6, 8, 9, 12, 13, 15, 15, 18, 20, 21, 22, 17, 19, 22, 21, 20, 21, 20, 18, 23, 27, 23, 24, 29, 28, 31]"
52,1,Dumb,30,"[4, 5, 5, 6, 7, 8, 8, 9, 11, 12, 10, 14, 18, 20, 18, 20, 21, 27, 29, 28, 30, 30, 30, 29, 32, 32, 31, 31, 32, 30]"
53,2,Dumb,42,"[3, 5, 6, 7, 8, 11, 11, 13, 13, 16, 17, 15, 13, 17, 17, 17, 18, 14, 16, 17, 18, 20, 23, 25, 24, 27, 31, 33, 38, 42]"
54,1,Dumb,42,"[4, 5, 6, 7, 9, 10, 14, 12, 12, 14, 13, 13, 13, 11, 11, 13, 16, 18, 17, 22, 23, 29, 29, 32, 34, 33, 36, 41, 40, 42]"
55,2,Dumb,23,"[3, 5, 5, 6, 7, 7, 8, 10, 12, 14, 16, 18, 21, 23, 26, 24, 24, 26, 27, 24, 26, 21, 22, 21, 23, 28, 23, 23, 23, 23]"
56,1,Dumb,33,"[4, 5, 6, 7, 8, 9, 10, 10, 11, 12, 16, 17, 18, 21, 22, 25, 25, 23, 24, 26, 27, 26, 26, 27, 26, 25, 27, 33]"
57,2,Dumb,30,"[3, 4, 5, 7, 7, 8, 10, 12, 12, 14, 11, 12, 13, 13, 13, 13, 17, 18, 20, 20, 23, 25, 26, 28, 34, 33, 32, 30]"
58,1,Dumb,35,"[4, 5, 6, 6, 7, 9, 9, 10, 11, 11, 14, 15, 16, 15, 16, 20, 18, 20, 19, 17, 18, 22, 21, 19, 18, 16, 28, 33, 35]"
59,2,Dumb,33,"[3, 4, 7, 7, 8, 9, 10, 12, 13, 14, 15, 14, 18, 18, 19, 20, 21, 24, 28, 31, 31, 29, 34, 37, 40, 42, 31, 32, 33]"
60,1,Dumb,46,"[4, 5, 6, 5, 8, 9, 10, 12, 12, 13, 15, 14, 12, 14, 14, 14, 12, 14, 13, 14, 19, 22, 24, 27, 27, 28, 32, 31, 43, 46]"
61,2,Dumb,20,"[3, 4, 7, 8, 7, 8, 9, 11, 11, 12, 14, 18, 19, 20, 23, 26, 28, 29, 30, 31, 29, 27, 27, 29, 32, 29, 31, 31, 20]"
62,1,Dumb,37,"[4, 5, 5, 6, 7, 9, 8, 9, 9, 10, 12, 12, 13, 15, 16, 12, 17, 19, 19, 20, 28, 28, 28, 22, 30, 35, 37, 41, 33, 37]"
63,2,Dumb,32,"[3, 5, 6, 7, 10, 10, 11, 13, 15, 15, 16, 17, 18, 18, 24, 25, 22, 24, 25, 25, 21, 24, 30, 31, 25, 22, 22, 29, 35, 32]"
64,1,Dumb,31,"[4, 5, 6, 8, 8, 8, 8, 9, 8, 9, 11, 14, 15, 16, 11, 12, 13, 15, 17, 19, 16, 18, 18, 19, 19, 27, 31, 31, 31]"
65,2,Dumb,33,"[3, 4, 5, 6, 8, 12, 12, 15, 15, 16, 16, 16, 16, 23, 26, 25, 27, 26, 26, 30, 31, 32, 34, 37, 36, 31, 34, 31, 33]"
66,1,Dumb,33,"[4, 5, 6, 7, 8, 9, 9, 11, 11, 14, 15, 16, 12, 15, 20, 21, 19, 22, 25, 23, 23, 23, 23, 24, 21, 23, 26, 29, 29, 33]"
67,2,Dumb,38,"[3, 4, 5, 6, 8, 11, 11, 13, 12, 11, 12, 18, 22, 18, 16, 20, 20, 20, 22, 23, 25, 27, 28, 34, 38, 35, 34, 33, 39, 38]"
68,1,Dumb,36,"[4, 5, 8, 9, 9, 10, 11, 13, 14, 15, 16, 18, 19, 22, 23, 23, 23, 26, 28, 28, 29, 30, 32, 30, 27, 32, 35, 40, 35, 36]"
69,2,Dumb,29,"[3, 4, 3, 5, 7, 7, 8, 8, 9, 10, 11, 11, 12, 13, 13, 15, 18, 16, 16, 18, 18, 21, 22, 27, 29, 25, 24, 27, 29, 29]"
70,1,Dumb,40,"[4, 5, 6, 6, 7, 8, 10, 12, 12, 11, 13, 14, 15, 16, 18, 20, 19, 22, 23, 23, 27, 29, 30, 28, 27, 29, 28, 28, 38, 40]"
71,2,Dumb,27,"[3, 4, 6, 7, 8, 10, 9, 10, 13, 14, 14, 15, 17, 18, 18, 20, 23, 21, 21, 22, 23, 21, 24, 27, 29, 33, 32, 38, 27, 27]"
72,1,Dumb,24,"[4, 5, 6, 9, 10, 13, 14, 15, 14, 15, 18, 18, 19, 21, 23, 19, 22, 20, 21, 21, 20, 20, 20, 25, 24, 26, 28, 27, 30, 24]"
73,2,Dumb,40,"[3, 4, 5, 4, 5, 4, 5, 8, 9, 10, 10, 14, 15, 14, 18, 18, 22, 22, 25, 27, 29, 30, 32, 30, 33, 31, 33, 34, 40]"
74,1,Dumb,33,"[4, 5, 5, 7, 8, 9, 10, 11, 11, 11, 14, 13, 14, 16, 18, 21, 23, 23, 20, 21, 22, 22, 25, 27, 26, 25, 31, 30, 36, 33]"
75,2,Dumb,33,"[3, 5, 7, 6, 7, 10, 9, 11, 13, 14, 15, 16, 17, 17, 17, 16, 18, 22, 25, 24, 27, 27, 26, 28, 31, 32, 35, 31, 33]"
76,1,Dumb,34,"[4, 5, 6, 5, 8, 11, 11, 13, 15, 17, 18, 18, 20, 21, 19, 19, 20, 21, 23, 25, 26, 29, 33, 34, 36, 33, 34, 36, 36, 34]"
77,2,Dumb,31,"[3, 4, 7, 8, 7, 7, 8, 8, 8, 8, 10, 12, 11, 16, 17, 18, 21, 21, 23, 21, 21, 20, 19, 19, 23, 25, 27, 26, 31]"
78,1,Dumb,29,"[4, 5, 5, 6, 7, 9, 11, 12, 12, 13, 13, 14, 14, 11, 12, 13, 14, 15, 17, 19, 19, 19, 20, 19, 25, 29, 24, 25, 30, 29]"
79,2,Dumb,37,"[3, 5, 6, 7, 9, 8, 8, 10, 11, 14, 15, 17, 21, 22, 24, 24, 25, 26, 26, 30, 30, 31, 36, 34, 31, 34, 38, 37, 35, 37]"
80,1,Dumb,42,"[4, 6, 7, 8, 8, 9, 9, 8, 9, 10, 11, 10, 11, 13, 15, 15, 13, 14, 19, 21, 21, 24, 23, 24, 26, 30, 33, 35, 39, 42]"
81,2,Dumb,24,"[3, 3, 4, 7, 7, 10, 12, 13, 15, 15, 18, 19, 21, 22, 21, 25, 26, 27, 26, 26, 27, 28, 30, 29, 30, 29, 28, 29, 28, 24]"
